ptObj.x|ptObj.y|damage|score|idxObjImg
7010|500|0|10|0
7080|500|0|10|0
7150|500|0|10|0
7220|500|0|10|0
7290|500|0|10|0
7360|500|0|10|0
7430|500|0|10|0
7500|500|0|10|0
7570|500|0|10|0
7640|500|0|10|0
7700|440|0|20|2
7760|390|0|30|3
7740|500|10|0|7
7820|390|0|30|3
7880|440|0|20|2
7950|500|0|10|0
8020|500|0|10|0
8090|500|0|10|0
8160|500|0|10|0
8230|500|0|10|0
8300|500|0|10|0
8370|500|0|10|0
8440|500|0|10|0
8510|500|0|10|0
8580|500|0|10|0
8650|500|0|10|0
8720|500|0|10|0
8790|500|0|10|0
8860|500|0|10|0
8930|500|0|10|0
9000|500|0|10|0
9060|440|0|20|2
9120|390|0|30|3
9100|500|10|0|7
9180|390|0|30|3
9240|440|0|20|2
9310|500|0|10|0
9380|500|0|10|0
9450|500|0|10|0
9520|500|0|10|0
9590|500|0|10|0
9660|500|0|10|0
9835|370|0|10|0
9835|420|0|10|1
9870|340|0|10|1
9870|450|0|10|0
9900|390|0|50|5
9900|390|0|50|5
9950|340|0|10|0
9950|450|0|10|1
9985|370|0|10|1
9985|420|0|10|0
10320|370|0|10|0
10320|420|0|10|1
10355|340|0|10|1
10355|450|0|10|0
10375|390|0|40|4
10375|390|0|40|4
10425|340|0|10|0
10425|450|0|10|1
10460|370|0|10|1
10460|420|0|10|0
10795|370|0|10|0
10795|420|0|10|1
10830|340|0|10|1
10830|450|0|10|0
10860|390|0|50|5
10860|390|0|50|5
10910|340|0|10|0
10910|450|0|10|1
10945|370|0|10|1
10945|420|0|10|0
11280|370|0|10|0
11280|420|0|10|1
11315|340|0|10|1
11315|450|0|10|0
11335|390|0|40|4
11335|390|0|40|4
11385|340|0|10|0
11385|450|0|10|1
11420|370|0|10|1
11420|420|0|10|0
11755|370|0|10|0
11755|420|0|10|1
11790|340|0|10|1
11790|450|0|10|0
11820|390|0|50|5
11820|390|0|50|5
11870|340|0|10|0
11870|450|0|10|1
11905|370|0|10|1
11905|420|0|10|0
12240|370|0|10|0
12240|420|0|10|1
12275|340|0|10|1
12275|450|0|10|0
12295|390|0|40|4
12295|390|0|40|4
12345|340|0|10|0
12345|450|0|10|1
12380|370|0|10|1
12380|420|0|10|0
12750|500|0|10|0
12820|500|0|10|0
12890|500|0|10|0
12960|500|0|10|0
13030|500|0|10|0
13100|500|0|10|0
13170|500|0|10|0
13240|500|0|10|0
13310|500|0|10|0
13380|500|0|10|0
13450|500|0|10|0
13520|500|0|10|0
13590|500|0|10|0
13660|500|0|10|0
13730|500|0|10|0
13800|500|0|10|0
13860|380|0|20|2
13920|260|0|20|2
13980|200|0|30|3
13960|375|20|0|8
14040|200|0|30|3
14100|260|0|20|2
14160|380|0|20|2
14230|500|0|10|0
14300|500|0|10|0
14370|500|0|10|0
14440|500|0|10|0
14510|500|0|10|0
14580|500|0|10|0
14650|500|0|10|0
14720|500|0|10|0
14790|500|0|10|0
14860|500|0|10|0
14930|500|0|10|0
15000|500|0|10|0
15070|500|0|10|0
15140|500|0|10|0
15210|500|0|10|0
15280|500|0|10|0
15340|380|0|20|2
15400|260|0|20|2
15460|200|0|30|3
15440|375|20|0|8
15520|200|0|30|3
15580|260|0|20|2
15640|380|0|20|2
15710|500|0|10|0
15780|500|0|10|0
15850|500|0|10|0
15920|500|0|10|0
15990|500|0|10|0
16060|500|0|10|0
16130|500|0|10|0
16200|500|0|10|0
16270|500|0|10|0
16340|500|0|10|0
16410|500|0|10|0
16700|410|0|10|1
16700|365|0|10|1
16740|365|0|10|1
16740|320|0|10|1
16780|320|0|10|1
16780|275|0|10|1
16835|220|0|50|5
16915|320|0|10|1
16915|275|0|10|1
16955|365|0|10|1
16955|320|0|10|1
16995|410|0|10|1
16995|365|0|10|1
17235|410|0|10|0
17235|365|0|10|0
17275|365|0|10|0
17275|320|0|10|0
17315|320|0|10|0
17315|275|0|10|0
17370|220|0|40|4
17450|320|0|10|0
17450|275|0|10|0
17490|365|0|10|0
17490|320|0|10|0
17530|410|0|10|0
17530|365|0|10|0
17770|410|0|10|1
17770|365|0|10|1
17810|365|0|10|1
17810|320|0|10|1
17850|320|0|10|1
17850|275|0|10|1
17890|220|-20|0|12
17980|320|0|10|1
17980|275|0|10|1
18020|365|0|10|1
18020|320|0|10|1
18060|410|0|10|1
18060|365|0|10|1
18600|480|-20|0|12
18800|375|20|0|8
18970|470|0|30|3
18970|520|0|30|3
19030|470|0|30|3
19030|520|0|30|3
19090|470|0|30|3
19090|520|0|30|3
19150|470|0|30|3
19150|520|0|30|3
19210|470|0|30|3
19210|520|0|30|3
19290|375|20|0|8
19460|470|0|30|3
19460|520|0|30|3
19520|470|0|30|3
19520|520|0|30|3
19580|470|0|30|3
19580|520|0|30|3
19640|470|0|30|3
19640|520|0|30|3
19700|470|0|30|3
19700|520|0|30|3
19780|375|30|0|9
20030|480|-20|0|12
20280|375|20|0|8
20530|500|10|0|7
20780|500|10|0|7
20550|400|0|10|0
20610|400|0|10|0
20610|350|0|10|0
20670|400|0|10|0
20660|260|0|50|6
20730|400|0|10|0
20790|400|0|10|0
20790|350|0|10|0
20850|400|0|10|0
21030|375|30|0|9
21200|470|0|30|3
21200|520|0|30|3
21260|470|0|30|3
21260|520|0|30|3
21320|470|0|30|3
21320|520|0|30|3
21380|470|0|30|3
21380|520|0|30|3
21440|470|0|30|3
21440|520|0|30|3
21520|375|30|0|9
21690|470|0|30|3
21690|520|0|30|3
21750|470|0|30|3
21750|520|0|30|3
21810|470|0|30|3
21810|520|0|30|3
21870|470|0|30|3
21870|520|0|30|3
21930|470|0|30|3
21930|520|0|30|3
22010|375|30|0|9
22530|520|0|10|0
22550|470|0|10|0
22550|570|0|10|0
22570|520|0|10|0
22590|470|0|10|0
22590|570|0|10|0
22630|470|0|20|1
22630|570|0|20|1
22650|520|0|20|1
22670|470|0|20|1
22670|570|0|20|1
22690|520|0|20|1
22750|360|0|50|6
22890|520|0|10|0
22910|470|0|10|0
22910|570|0|10|0
22930|520|0|10|0
22950|470|0|10|0
22950|570|0|10|0
22990|470|0|20|1
22990|570|0|20|1
23010|520|0|20|1
23030|470|0|20|1
23030|570|0|20|1
23050|520|0|20|1
23110|360|0|50|6
23250|520|0|10|0
23270|470|0|10|0
23270|570|0|10|0
23290|520|0|10|0
23310|470|0|10|0
23310|570|0|10|0
23350|470|0|20|1
23350|570|0|20|1
23370|520|0|20|1
23390|470|0|20|1
23390|570|0|20|1
23410|520|0|20|1
23600|500|0|10|0
23670|500|0|10|0
23740|500|0|10|0
23810|500|0|10|0
23880|500|0|10|0
23950|500|0|10|0
24020|500|0|10|0
24090|500|0|10|0
24160|500|0|10|0
24230|550|0|10|0
24290|570|0|10|0
24350|570|0|10|1
24410|570|0|10|1
24360|-130|30|0|10
24470|570|0|10|1
24530|570|0|10|1
24590|570|0|10|1
24650|570|0|10|1
24600|-130|30|0|11
24710|570|0|10|1
24770|570|0|10|1
24830|570|0|10|0
24900|550|0|10|0
24970|500|0|10|0
25040|500|0|10|0
25120|430|0|50|6
25280|500|0|10|0
25350|500|0|10|0
25420|550|0|10|0
25480|570|0|10|0
25540|570|0|10|1
25600|570|0|10|1
25550|-130|30|0|11
25660|570|0|10|1
25720|570|0|10|1
25780|570|0|10|1
25840|570|0|10|1
25790|-130|30|0|11
25900|570|0|10|1
25960|570|0|10|1
26020|570|0|10|1
26080|570|0|10|1
26030|-130|30|0|11
26140|570|0|10|1
26200|570|0|10|1
26260|570|0|10|0
26330|550|0|10|0
26400|500|0|10|0
26470|500|0|10|0
26540|500|0|10|0
26610|480|0|50|12
26730|500|0|10|0
26800|500|0|10|0
26870|500|0|10|0
26940|550|0|10|0
27000|570|0|10|0
27060|570|0|10|1
27120|570|0|10|1
27070|-130|30|0|10
27180|570|0|10|1
27240|570|0|10|1
27300|570|0|10|1
27360|570|0|10|1
27310|-130|30|0|11
27420|570|0|10|1
27480|570|0|10|1
27540|570|0|10|0
27610|550|0|10|0
27680|500|0|10|0
27750|500|0|10|0
27820|500|0|10|0
27890|500|0|10|0
27960|500|0|10|0
28030|500|0|10|0
